Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,602113,1382
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,599773,284
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,591350,332
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,576854,109
101525041616176,Power the Polls,Power The Polls,562632,6011
103983379801,Texas Democratic Party,SUPER STATES 2020,560815,414
1576552839287418,Senate Leadership Fund,Senate Leadership Fund,556220,635
643463669628493,Public Opinion Research Group,"Public Opinion Research Group, Inc",555142,6974
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,546301,653
114904113668632,Trump For Florida,"DONALD J. TRUMP FOR PRESIDENT, INC.",537546,1636
101183127996396,Four Is Enough,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",536000,839
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,533658,4851
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,526754,475
602714436529710,End Citizens United,END CITIZENS UNITED,507504,638
706716899745696,Women for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,505490,835
104856814505092,The Kids Guide,The Kids Guide,483990,365
110224710639481,YES on 14: CA for Stem Cell Research & Cures,"YES on 14: Californians for Stem Cell Research, Treatments and Cures. Committee major funding from Robert N. Klein II and Affiliated Entity Klein Financial Corporation, Dagmar Dolby, JDRF International. Funding details at www.fppc.ca.gov",474767,25
6500552187,Hulu,"HULU, LLC",456993,92
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,453226,105
111201130682281,One North Carolina,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,445594,61
43287633515,Alliance for Climate Education,Alliance for Climate Education,444736,908
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,443647,926
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",440882,852
6713653788,Gary Peters,PETERS FOR MICHIGAN,438287,866
106487520883333,Cardinal & Pine,"Courier Newsroom, Inc.",437221,763
344690446467832,The Copper Courier,"Courier Newsroom, Inc.",435733,550
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,433896,2150
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,432001,114
260754507296508,The Voter Participation Center,Voter Participation Center,426609,5629
114971076538782,The Keystone,"Courier Newsroom, Inc.",424839,724
700806360047982,CFG Action,Club for Growth Action,421141,141
607626319739286,Black Voices for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,417894,839
428821014132730,Katie Porter,Katie Porter For Congress,417453,533
538649879867825,Red Table Talk,"Facebook, Inc.",399028,6
327837911149503,2A4Life,2A4LIFE LLC,398400,234
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,397899,551
127225910653607,PragerU,PragerU,397306,355
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,390492,956
149509599222913,No On Prop 21,No on Prop 21: Californians for Responsible Housing,384833,322
309798029121030,Everytown for Gun Safety,EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND),380981,70
683872625157265,Theresa Greenfield,THERESA GREENFIELD FOR IOWA,369688,316
1556932204325823,ProgressPop,ProgressPop,367862,4237
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,363613,1486
179204028758675,California Secretary of State,California Secretary of State,356765,6
100560711450721,Evangelicals for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,352908,486
2352630938293825,Mytacticalpromos,Entremax,350147,544
108464460953715,2020 Priorities,DCCC,349753,229
108103774350322,We the People 2020,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,338872,939
111428049989,Cal Cunningham,CAL FOR NC,325979,711
302182941354,AARP Advocates,AARP,325672,76
328853823844484,Balance of Power,Balance of Power,322734,1547
605168822998856,314 Action,314 ACTION FUND,317009,122
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,316957,145
102940748211235,Trump for Pennsylvania,"DONALD J. TRUMP FOR PRESIDENT, INC.",299102,1891
9002965673,Freeform,Freeform,297990,83
594179467757742,Wrong Path McGrath,MCCONNELL SENATE COMMITTEE,291600,7
1676291615740480,Yes on 21,Homeowners and Tenants United,289333,2844
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,286387,3884
679171239164792,Supermajority,"Supermajority PAC, https://supermajority.com/pac/. Not authorized by any candidate or candidate's committee.",286156,1181
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,279452,178
580610428636345,Fight for $15,Fight for $15,278131,329
156994304362574,American Bridge 21st Century,AB PAC,276739,93
202851657003895,We Are PA,The Story of Us,269716,121
107210084216238,Humanity Forward,Humanity Forward,266081,102
355316521236121,John Cornyn,TEXANS FOR SENATOR JOHN CORNYN INC.,262679,373
110749446963570,Courier,"Courier Newsroom, Inc.",261256,1385
1600352356914768,PushBlack,PushBlack,258907,453
121111592617739,Secure the Vote Georgia,Georgia Secretary of State,256416,183
51405613519,Focus on the Family,Focus on the Family,255089,127
168051710543266,Lacy Johnson,Lacy Johnson for Congress,254575,195
2267285956849056,Donald Trump 2020 Fans,I Love My Freedom,253470,948
8501031021,VoteVets.org,VOTEVETS,251657,388
108103774350322,We the People 2020,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,248821,714
107654924064350,Pat Timmons-Goodson,PATRICIA TIMMONS-GOODSON FOR CONGRESS,246795,393
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,244509,1273
2078647579047586,Project Pulso,Pulso,243965,285
19972147679,SEIU,SEIU,240343,397
116505355909,No On Prop 15,"No on Prop 15 - Stop Higher Property Taxes and Save Prop 13 - a coalition of California homeowners, taxpayers, and businesses",239198,249
244929708853349,Spotify,Spotify USA Inc.,238570,72
10150100007820094,Wendy Davis,WENDY DAVIS FOR CONGRESS,238203,1689
314499212242,Pfizer,Pfizer Inc.,234101,57
109031110946474,Pennsylvania Votes Trump Out,TECH FOR CAMPAIGNS,229498,243
107483817554072,WorkMoney,WorkMoney,228118,375
45002877992,FOX,FOX Broadcasting,227412,53
681745912255844,John Cummings for Congress,CUMMINGS FOR CONGRESS,225787,12
101591204987294,Forward Arizona,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,224394,40
9324910069,NRSC,NRSC,224031,426
326974419055,Xfinity,COMCAST CORPORATION,223901,18
1552675688372326,Color Of Change PAC,Priorities USA Action and Color of Change PAC. (202) 455-8428. (646) 395-3711. Not authorized by any candidate or candidate's committee.,222002,2093
106158314342739,Facts First,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,220633,946
8934429638,Planned Parenthood Action,Planned Parenthood Votes,220428,677
114148480355756,Yes on Prop 16,"Yes on 16, Opportunity for All Coalition, sponsored by civil rights organizations. Committee major funding from: M. Quinn Delaney, Kaiser Foundation Health Plan, Inc. and the Hospitals, Patricia Quillin.",220349,52
7833534974,Florida Democratic Party,Florida Democratic Party,218689,609
103597034685122,Vote Like A Madre,LATINO VICTORY PROJECT,217080,878
9465008123,Amazon.com,These ads ran without a disclaimer,217051,4
592347634460462,Partnership for America's Health Care Future,Partnership for America's Health Care Future,215624,305
104614641200137,MeidasTouch,MEIDASTOUCH,215404,523
114710126648118,Republican Dogs,Republican Dogs,214020,1721
18982436812,ACLU,American Civil Liberties Union,213030,598
2353537341582545,Proud Patriots,Proud Patriots,212632,2018
110746996993983,The 'Gander Newsroom,"Courier Newsroom, Inc.",210105,316
33713453361,Amazon Prime Video,Amazon Prime Video,209257,1081
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,207417,98
296207827414521,NRCC IE,NRCC,204371,281
133666160060982,Senate Majority PAC,SMP,202521,30
1900853040223913,Count All Kids,Partnership for America's Children with Facebook Ad Credits,199994,10
338028696036,Yahoo News,Verizon Media Inc,199870,14
604038030097923,We Make Michigan,The Story of Us,199281,64
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,199150,242
110026044048401,No on Prop 22,"No on Prop 22, coalition to protect riders and drivers sponsored by CA labor. Committee major funding from International Brotherhood of Teamsters Service Employees International Union United Healthcare Workers West State Building and Construction Trades Council of California",198435,122
158791100909689,Concerned Veterans for America,Concerned Veterans for America,197424,462
108182477657777,Georgia United Victory,Georgia United Victory,195740,152
205395906412,UAW International Union,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AM",194562,488
1528980567353817,Love Has No Labels,Love Has No Labels with Facebook Ad Credits,191573,13
104033728104744,Michigan Values,SMP,191510,10
72825284566,Iowa Democratic Party,IOWA DEMOCRATIC PARTY,189500,108
92925746942,Judicial Watch,Judicial Watch,188925,243
248833449184369,Boost the News,ACRONYM,188752,3887
102972678133490,Californians For Equal Rights,"Californians for Equal Rights, No on 16, committee major funding by Students for Fair Admissions (# 1427809).",188221,182
95181800661,Levi's,Levi's®,181457,215
105577974544303,The USA Needs More Patriots,AmeriPolling,180585,144
1771156219840594,Team Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",180132,1596
100137754724934,Trump 2020 Supporters,Proud Right Winger,178095,269
2246364628908665,Uniting Missouri,Uniting Missouri,177217,13
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,177015,104
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",176648,1959
408250066356,Bill O'Reilly,"Bill Me, Inc.",171304,15
113668017062690,Citizens For Free Enterprise,Citizens for Free Enterprise,170149,695
6204742571,Sierra Club,SIERRA CLUB,168589,806
33713453361,Amazon Prime Video,These ads ran without a disclaimer,167245,5
1449461518652183,4Patriots,4Patriots LLC,166674,88
268713027333418,The Georgia Action Fund,Georgia Action Fund,166112,9
126660277417565,Engage Michigan,Engage Michigan,165673,25
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",165343,87
5435784683,Greenpeace USA,"GREENPEACE, INC.",165209,98
223055747744143,Beto O'Rourke,Powered By People,165141,373
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,165075,15
442553959494293,Pay Up Climate Polluters,Center for Climate Integrity,163904,44
819607471729183,Dr. Al Gross for US Senate,DR. AL GROSS FOR U.S. SENATE,161850,98
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,160650,184
1419388578092947,Anna Paulina Luna,ANNA PAULINA LUNA FOR CONGRESS,159826,70
106663044307859,Mike Sievert,"T-MOBILE USA, INC.",158278,22
105390141285230,The FYI,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",157951,1174
717115395103069,PrintedKicks,Printed Kicks,157720,106
103218494866778,Michigan Votes Trump Out,TECH FOR CAMPAIGNS,157496,161
203197030603239,8 Billion Trees,8 Billion Trees,156914,19
183933445351257,ProHEALTH Urgent Care,These ads ran without a disclaimer,155269,3
1934191280189700,Health Care Voter,"Change Now, Inc.",153511,46
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,153431,138
200650357207240,I Love My Freedom,I Love My Freedom,152520,499
104987704684453,Corrupt Thom Tillis,DSCC,151401,6
105479921284817,Trump For Michigan,"DONALD J. TRUMP FOR PRESIDENT, INC.",150481,1538
675471506247724,Adair for Congress,ADAIR FOR CONGRESS,150368,29
109944567501859,Trump for Arizona,"DONALD J. TRUMP FOR PRESIDENT, INC.",149403,1473
8325302025,Friends of the Earth U.S.,Friends of the Earth,149067,235
110762610521896,More Than A Vote,"More Than A Vote, Inc",144862,32
213792049451918,Stand For America,Stand For America Inc,144675,131
23875187730,Feeding America,Feeding America,144157,121
130467958471,Jason Lewis,Jason Lewis for Senate,143937,44
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,143182,275
46093654473,National Republican Congressional Committee,NRCC,140450,107
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,140243,30
17432811417,Working Families Party,"Working Families Organization, Inc",140095,88
110124618713,American Principles Project,AMERICAN PRINCIPLES PROJECT PAC,139908,90
109894877501594,Steve Daines Follows The Money,DSCC,139541,248
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",139430,244
114009933764548,The Patriot Club,RightWingGear,139202,8
106244251043808,Reuse Plastics,"AMERICAN CHEMISTRY COUNCIL, INC.",139160,121
104684067632334,Unite the Country,UNITE THE COUNTRY,139128,153
112479700577922,Trump For Georgia,"DONALD J. TRUMP FOR PRESIDENT, INC.",138044,783
26006662641,Arizona Democratic Party,Arizona Democratic Party,137768,133
152222811464994,One Arizona,One Arizona,137582,162
248422805193353,The California Endowment,The California Endowment,136190,114
40912053758,Ohio Republican Party,Ohio Republican Party,136042,189
100556838454730,Trump For North Carolina,"DONALD J. TRUMP FOR PRESIDENT, INC.",134940,973
104560737874043,YES on 108,Yes for a Healthy Future,133563,57
103571278142168,Joni Ernst Isn’t On Our Side,DSCC,133353,184
1883837055193241,Shield Republic,Shield Republic,132053,5253
461204744067686,Family Protection Association,Family Protection Association,131772,422
103597604713894,Team Trump Store,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,131447,1280
72186095846,Center For American Progress Action Fund,Center for American Progress Action Fund,130858,115
112325855474892,Speak Up For Education and Kids,National Education Association,130711,2362
158901474162793,Vote Utah,State of Utah - Office of the Lieutenant Governor,130154,38
109131637582529,Trump for Ohio,"DONALD J. TRUMP FOR PRESIDENT, INC.",129526,870
125907387426944,Edelson P.C.,Edelson PC,128915,43
107587444304681,Win Black / Pa'lante,Fight For The Base,128814,372
748857881986418,Montana True,SMP,128442,66
169130470583214,Demand Justice,Demand Justice,128409,232
106888260932693,Fair Census Project,RESOURCES LEGACY FUND,127793,13
934438026690635,YouGov,YOUGOV AMERICA INC.,127538,5167
102540204580217,UpNorthNews,"Courier Newsroom, Inc.",125506,326
102281264932254,The Southern Strategy,Southern Strategy,125150,334
27670195475,Alliance for a Better Minnesota,Alliance for a Better Minnesota Action Fund,124401,592
834645469890446,Devin Nunes,DEVIN NUNES CAMPAIGN COMMITTEE,124219,35
167586229923327,World Food Program USA,World Food Program USA,123816,899
2081864865362439,Mike Espy,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,123810,1059
1643411132380588,DefendArizona,DEFEND ARIZONA. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.,122852,70
1765073800454902,Reform Austin,Reform Austin Inc.,122722,371
24902886692,Coach,"TAPESTRY, INC.",122690,18
109379100777665,Patriotism Isn't Dead,Patriot Polling,121774,125
443329669123990,USAFacts,USAFacts Institute,121480,301
1374134752633656,New Health Plans,Shop Insurance Plans,121151,50
407664862957433,Ammar Campa-Najjar for Congress,AMMAR CAMPA-NAJJAR FOR CONGRESS,120431,485
101278694809805,Meme2020,Meme2020,120103,42
172298889630363,Republican Attorneys General Association,REPUBLICAN ATTORNEYS GENERAL ASSOCIATION,118907,134
100609191787271,Common Sense Voters Of America LLC,Common Sense Voters of America LLC,118843,20
102291391641646,Daines Out for Himself,MONTANANS FOR BULLOCK,118511,29
100387821391085,Coalition for Safe and Secure Data,Coalition for Safe and Secure Data,117489,21
355316521236121,John Cornyn,Cornyn Majority Texas,117331,573
169597416843751,Stand Up America,Stand Up America,117240,138
586751814690068,Joni Ernst,Joni for Iowa,117122,182
828902563856302,Chuck Schumer D-NY,FRIENDS OF SCHUMER,116474,109
429812024048177,Doug Jones for Senate,DOUG JONES FOR SENATE COMMITTEE,116458,656
109097990639753,Unite for Colorado,Unite for Colorado,116310,18
100969075095884,Wisconsin Votes Trump Out,TECH FOR CAMPAIGNS,116307,158
192013990902459,Roy Cooper,Cooper For North Carolina,115841,96
1435148843426547,SEIU Florida,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),115657,132
100256754899828,Patriot's Cave,Patriots Cave,114837,145
101432825019214,Republicans & Independents for Biden,The Lincoln Project,114739,86
215199482635728,Alek Skarlatos,ALEK FOR OREGON,114322,67
1145019702185006,Alliance for Safety and Justice,Alliance for Safety and Justice,113725,525
50576707351,Republican State Leadership Committee,Republican State Leadership Committee,113688,343
108692310594568,UNITE HERE,UNITE HERE PAC,113539,24
1032024236842744,Marsy's Law for Kentucky,"Marsy's Law for Kentucky, LLC",113155,100
102124351512582,Yes On 118: Colorado Families First,Colorado Families First,112720,18
277005566267077,Blueland,Blueland,112563,87
118502801658228,Young Kim,Young Kim for Congress,112291,156
1553040531666224,Independence USA,Independence USA PAC,111216,3303
216397232833,Penzeys Spices,Penzeys Ltd,109589,181
107553074295243,Climate Vote MN,Climate Vote MN,109583,84
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",109504,923
102617961152741,Barbara Bollier,BOLLIER FOR KANSAS,109291,130
106627181062791,South Carolina Signal,JAIME HARRISON FOR US SENATE,108964,67
110231297470727,Stronger Missouri,"STRONGER MISSOURI PAC, LINDA LOCKE, TREASURER",108807,10
907919839243616,My Faith Votes,My Faith Votes,108247,248
291787634202205,Illinois Department of Human Services,Illinois Department of Human Services,108111,3369
1596671280578981,Schools & Communities First,Schools and Communities First,106863,16
69983322463,Ted Cruz,TED CRUZ FOR SENATE,106600,136
106572950040377,Max Rose,MAX ROSE FOR CONGRESS,106283,106
2040270322863853,Tina Smith,TINA SMITH FOR MINNESOTA,105115,647
57403415485,Showtime Networks,Showtime Networks,104729,218
116546288359245,Heritage Action for America,HERITAGE ACTION FOR AMERICA,104223,258
106224464107240,Jo Jorgensen,Jo Jorgensen for President,103882,460
143528022388140,The Allstate Foundation,The Allstate Foundation,103651,4
289446947817747,Global Citizen,"GLOBAL POVERTY PROJECT, INC.",102765,137
106323360959211,Patriots Republic,Matthew James Stine,102232,4366
85452072376,Newsmax,Newsmax Media,102228,63
491878397627090,Florida Watch,"Florida Watch, Inc.",101525,39
320437294638279,Campus Vote Project,FAIR ELECTIONS CENTER,101393,97
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",101227,147
393932827634250,Dissent Pins,Common Practice,100760,100
1424858414264105,Facebook Watch,"Facebook, Inc.",100000,7
537709253344323,The News Break - News Break,These ads ran without a disclaimer,99986,289
107038924352529,Big Money Mark Kelly,NRSC,99922,72
113666459994300,Big Dan Rodimer for Congress,RODIMER FOR CONGRESS,99787,28
410353089720802,Santa Clara County - Office of the Census,"County of Santa Clara, Office of the Census",98892,55
95356211637,Ben Ferguson,Ben Ferguson show,98746,61
203805062990264,Ben Shapiro,The Daily Wire,98725,90
278478315828826,CNN Original Series,"Turner Broadcasting Sales, Inc",98197,121
103983379801,Texas Democratic Party,Texas Democratic Party,97883,330
1428283027462702,Restoration PAC,RESTORATION PAC,97827,150
1107973016071967,Wesley Hunt,Hunt for Congress,97665,63
140357056032320,NEA Today,National Education Association,97646,10
156474368333576,Secure Democracy,Secure Democracy,97303,21
113437503753889,The Real Steve Bullock,NRSC,96270,66
215653202574079,Future Majority,"Future Majority, Inc",96228,96
106114264313679,Hunt The Vote,"Hunter Nation, Inc",95857,107
238268493699279,Where They Stand Florida,Forward Majority Action Florida,95492,178
101654774973359,Promises Made Promises Kept,"DONALD J. TRUMP FOR PRESIDENT, INC.",95487,2393
305832706292882,American Gun Association,GunAssociation.org,95165,244
104369968066690,No Prop 208,Arizonans for Great Schools and a Strong Economy,95126,9
111581497026836,Harris County Community Services Department- HCCSD,Harris County Community Services Department,95076,48
419237048158257,Susan Collins,COLLINS FOR SENATOR,94763,222
80562389320,NARAL Pro-Choice America,NARAL Freedom Fund,94450,7
612701059241880,Latinos for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,94445,499
596556607135301,The Earthling Co.,The Earthling Co.,94142,188
132492254050920,American AF,AAF Nation,93850,137
102757624532911,NYC Mayor's Public Engagement Unit,City of New York,92932,7
100543878456307,Trump for Wisconsin,"DONALD J. TRUMP FOR PRESIDENT, INC.",92359,999
6820348410,Kirsten Gillibrand,Off the Sidelines,91584,45
103644036958,United Association,United Association Political Education Committee,91342,199
1413682351987764,Andy Kim for Congress,ANDY KIM FOR CONGRESS,91232,171
25852730092,Care2,Care2 Inc,90944,272
24413227922,Kamala Harris,BIDEN FOR PRESIDENT,90899,332
309308412520731,Sandy Hook Promise,Sandy Hook Promise,90676,194
103075334816156,UFCW Votes,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION,90525,202
106855926042343,The New Florida Majority,Win Justice,90384,54
1721333671443168,Majority Forward,MAJORITY FORWARD,89401,28
1037157259782946,Colorado Way,The Story of Us,88562,57
102959799834968,Diane Mitsch Bush for Colorado,DIANE FOR COLORADO CD3,88400,122
108821207621435,A Better Wisconsin Together Institute,"A Better Wisconsin Together Institute, Inc.",88095,98
170591064699,Southern Poverty Law Center,"SOUTHERN POVERTY LAW CENTER, INC., THE",87747,65
8492293163,Environmental Defense Fund,Environmental Defense Fund,87713,280
7263476274,Mercy Corps,Mercy Corps,87626,410
104224114671958,Energy For Progress,The American Petroleum Institute,87461,5385
1141497362717903,Obey Me,These ads ran without a disclaimer,87248,15
149366465128820,Nicole Galloway,Nicole Galloway for Missouri,87075,169
105594977748727,Maine Together,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,87042,31
106438637853917,One For All Committee,ONE FOR ALL COMMITTEE,86837,12
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,86794,157
2046092952294722,Lucy McBath for Congress,FRIENDS OF LUCY MCBATH,85614,71
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",85084,23
25121889784,Texas Public Policy Foundation,Texas Public Policy Foundation,84937,1163
197760674021143,Indivisible Guide,INDIVISIBLE ACTION,84820,1286
162676813937511,Dan Forest,Committee to Elect Dan Forest,84652,105
101329438317952,Story Network Action,Story Network Foundation,84268,29
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,83686,1016
111455507353353,Multi-Millionaire Mike Garcia,DCCC,83521,21
1764306443784870,PL+US Action Fund,PLUS ACTION FUND,83298,188
100150481787475,Yes on J,Committee to Re-Imagine L.A. County,83286,367
504161563089343,BlackPAC,Black PAC,83257,145
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,82940,55
179204028758675,California Secretary of State,California Secretary of State with Facebook Ad Credits,82809,15
222778077862868,Crime Survivors for Safety and Justice,Alliance for Safety and Justice,82392,1323
105010030848236,Bryant Cameron Webb,DR. CAMERON WEBB FOR CONGRESS,82342,184
105039111350283,Florida - Register to Vote by October 5,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,82222,20
1338822066131069,Women's March,Women's March,81909,846
101165966152,AFL-CIO,AFL-CIO,81036,59
397130463730560,MOVE Texas,MOVE Texas Action Fund,80805,49
